task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
129	87/af10f1	164480	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287107)	CACHED	0	2026-05-01 12:36:11.355	13s	7.2s	307.1%	80.2 MB	2.7 GB	193.8 MB	5.8 MB
128	30/04df73	164479	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287107)	CACHED	0	2026-05-01 12:36:09.312	5.2s	2.3s	52.1%	87.6 MB	141.5 MB	6.2 MB	2.6 MB
130	a6/75de08	164481	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287107)	CACHED	0	2026-05-01 12:36:13.420	5.9s	1.6s	1950.2%	3.1 MB	5.7 MB	19.5 MB	2.9 KB
131	8a/2d6a02	164361	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287106)	CACHED	0	2026-05-01 12:26:04.740	6m 1s	3m	239.2%	3.6 GB	51.5 GB	1.6 GB	1.5 GB
132	76/2d0c54	164362	APHL_GAS:GAS:FASTP (SRR38287106)	CACHED	0	2026-05-01 12:26:04.769	3m 44s	1m 27s	67.6%	1.3 GB	1.8 GB	109.3 MB	63.1 MB
134	60/cbfcc8	164461	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287106)	CACHED	0	2026-05-01 12:34:54.408	7.5s	2.1s	46.4%	124.1 MB	176 MB	6.2 MB	2.6 MB
133	99/1f4460	164463	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287106)	CACHED	0	2026-05-01 12:34:57.980	13.9s	7.2s	301.0%	80.3 MB	2.7 GB	194.5 MB	5.8 MB
135	fc/daef4a	164462	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287106)	CACHED	0	2026-05-01 12:34:56.508	5.5s	1.8s	1714.0%	55.4 MB	14.9 GB	19.5 MB	2.3 KB
136	f5/a8734e	164363	APHL_GAS:GAS:FASTP (SRR38287105)	CACHED	0	2026-05-01 12:26:06.537	3m 30s	1m 2s	80.5%	1.2 GB	1.8 GB	95 MB	49.3 MB
137	5b/61a771	164364	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287105)	CACHED	0	2026-05-01 12:26:06.565	5m 59s	2m 38s	211.9%	4.3 GB	51.5 GB	1.3 GB	1.2 GB
139	69/128b82	164464	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287105)	CACHED	0	2026-05-01 12:34:59.967	44.3s	38.7s	57.9%	80.5 MB	2.7 GB	195.4 MB	5.9 MB
138	67/b16bcc	164466	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287105)	CACHED	0	2026-05-01 12:35:04.148	8.1s	1.7s	47.0%	157.6 MB	220.6 MB	6.3 MB	2.7 MB
140	35/140691	164465	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287105)	CACHED	0	2026-05-01 12:35:02.001	10.1s	1.8s	1720.4%	55.5 MB	14.9 GB	19.6 MB	2.5 KB
142	ef/728f48	164365	APHL_GAS:GAS:FASTP (SRR38287104)	CACHED	0	2026-05-01 12:26:08.045	3m 29s	53.2s	101.9%	1.3 GB	1.9 GB	93.4 MB	41.7 MB
